,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,camera_05_16_2025,Homo_sapiens,2025-10-08 11:20:50,2025-10-08,11:20:50,0,0,0,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Homo_sapiens,camera_05_16_2025__2025-10-08__11-20-50(1).JPG,27
2,camera_05_16_2025,Muntiacus_reevesi,2025-10-09 06:37:00,2025-10-09,06:37:00,0,0,0,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-09__06-37-00(1).JPG,2
3,camera_05_16_2025,Muntiacus_reevesi,2025-10-09 07:17:05,2025-10-09,07:17:05,2405,40.1,0.7,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-09__07-17-05(1).JPG,2
4,camera_05_16_2025,Muntiacus_reevesi,2025-10-10 07:39:14,2025-10-10,07:39:14,87729,1462.2,24.4,1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-10__07-39-14(1).JPG,1
5,camera_05_16_2025,Muntiacus_reevesi,2025-10-11 09:08:45,2025-10-11,09:08:45,91771,1529.5,25.5,1.1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-11__09-08-45(3).JPG,2
6,camera_05_16_2025,Muntiacus_reevesi,2025-10-11 14:07:45,2025-10-11,14:07:45,17940,299,5,0.2,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-11__14-07-45(1).JPG,1
7,camera_05_16_2025,Muntiacus_reevesi,2025-10-14 08:23:18,2025-10-14,08:23:18,238533,3975.6,66.3,2.8,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-14__08-23-18(2).JPG,1
8,camera_05_16_2025,Muntiacus_reevesi,2025-10-15 16:50:15,2025-10-15,16:50:15,116817,1947,32.5,1.4,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-15__16-50-15(1).JPG,1
9,camera_05_16_2025,Muntiacus_reevesi,2025-10-17 15:44:36,2025-10-17,15:44:36,168861,2814.3,46.9,2,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-17__15-44-36(1).JPG,4
10,camera_05_16_2025,Muntiacus_reevesi,2025-10-17 23:14:46,2025-10-17,23:14:46,27010,450.2,7.5,0.3,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-17__23-14-46(1).JPG,1
11,camera_05_16_2025,Muntiacus_reevesi,2025-10-18 07:40:04,2025-10-18,07:40:04,30318,505.3,8.4,0.4,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-18__07-40-04(1).JPG,2
12,camera_05_16_2025,Muntiacus_reevesi,2025-10-18 18:25:17,2025-10-18,18:25:17,38713,645.2,10.8,0.4,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-18__18-25-17(2).JPG,1
13,camera_05_16_2025,Muntiacus_reevesi,2025-10-23 11:33:59,2025-10-23,11:33:59,407322,6788.7,113.1,4.7,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-23__11-33-59(1).JPG,2
14,camera_05_16_2025,Muntiacus_reevesi,2025-10-23 12:39:34,2025-10-23,12:39:34,3935,65.6,1.1,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Muntiacus_reevesi,camera_05_16_2025__2025-10-23__12-39-34(1).JPG,5
15,camera_05_16_2025,Sciurus_carolinensis,2025-10-10 16:36:20,2025-10-10,16:36:20,0,0,0,0,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-10__16-36-20(1).JPG,1
16,camera_05_16_2025,Sciurus_carolinensis,2025-10-11 11:40:46,2025-10-11,11:40:46,68666,1144.4,19.1,0.8,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-11__11-40-46(1).JPG,4
17,camera_05_16_2025,Sciurus_carolinensis,2025-10-14 13:02:05,2025-10-14,13:02:05,264079,4401.3,73.4,3.1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-14__13-02-05(1).JPG,1
18,camera_05_16_2025,Sciurus_carolinensis,2025-10-14 16:32:46,2025-10-14,16:32:46,12641,210.7,3.5,0.1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-14__16-32-46(1).JPG,1
19,camera_05_16_2025,Sciurus_carolinensis,2025-10-15 17:16:18,2025-10-15,17:16:18,89012,1483.5,24.7,1,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-15__17-16-18(1).JPG,1
20,camera_05_16_2025,Sciurus_carolinensis,2025-10-16 12:41:38,2025-10-16,12:41:38,69920,1165.3,19.4,0.8,D:/Users/lenovo/Desktop/subset_01_renamed/camera_05_16_2025/Sciurus_carolinensis,camera_05_16_2025__2025-10-16__12-41-38(3).JPG,1
